id,r1516,nome,squadra1516,pg1516,mv1516,mf1516,gf1516,gs1516,rp1516,rc1516,rplus1516,rminus1516,ass1516,asf1516,amm1516,esp1516,au1516,r1617,squadra1617,pg1617,mv1617,mf1617,gf1617,gs1617,rp1617,rc1617,rplus1617,rminus1617,ass1617,asf1617,amm1617,esp1617,au1617,r1718,squadra1718,pg1718,mv1718,mf1718,gf1718,gs1718,rp1718,rc1718,rplus1718,rminus1718,ass1718,asf1718,amm1718,esp1718,au1718,r1819,squadra1819,pg1819,mv1819,mf1819,gf1819,gs1819,rp1819,rc1819,rplus1819,rminus1819,ass1819,asf1819,amm1819,esp1819,au1819
20,C,CIGARINI,Atalanta,24,6.12,6.25,1,0,0,1,1,0,1,1,10,0,0,C,Sampdoria,4,5.5,5.12,0,0,0,0,0,0,0,0,3,0,0,C,Cagliari,26,5.85,5.81,2,0,0,1,0,1,0,3,12,1,0,C,Cagliari,23,5.87,5.72,0,0,0,0,0,0,1,0,9,0,0
11,D,CONTI,Atalanta,13,5.85,6.27,2,0,0,0,0,0,1,0,1,1,0,D,Atalanta,33,6.26,6.92,8,0,0,0,0,0,4,0,12,0,0,D,Milan,2,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,D,Milan,9,5.78,5.83,0,0,0,0,0,0,2,0,3,0,0
21,C,D'ALESSANDRO,Atalanta,19,6.24,6.74,3,0,0,0,0,0,2,0,3,0,0,C,Atalanta,16,6.12,6.31,1,0,0,0,0,0,1,0,2,0,0,C,Benevento,15,6.2,6.43,1,0,0,0,0,0,1,0,1,0,0,C,Udinese,20,5.95,5.92,0,0,0,0,0,0,1,0,3,0,0
787,D,DJIMSITI,Atalanta,3,5.33,5.17,0,0,0,0,0,0,0,0,1,0,0,D,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,Benevento,30,5.53,5.53,0,0,0,0,0,0,1,0,2,0,0,D,Atalanta,22,5.84,5.86,1,0,0,0,0,0,1,0,3,0,1
788,C,FREULER,Atalanta,6,5.83,6.33,1,0,0,0,0,0,0,0,0,0,0,C,Atalanta,32,6.08,6.59,5,0,0,0,0,0,3,1,5,0,0,C,Atalanta,35,6.17,6.57,5,0,0,0,0,0,2,0,4,1,0,C,Atalanta,35,6.16,6.33,2,0,0,0,0,0,2,0,4,0,0
801,C,GAGLIARDINI,Atalanta,1,6,6,0,0,0,0,0,0,0,0,0,0,0,C,Inter,28,6.09,6.3,2,0,0,0,0,0,3,0,7,0,0,C,Inter,28,5.75,5.61,0,0,0,0,0,0,0,0,8,0,0,C,Inter,15,6.1,6.97,5,0,0,0,0,0,0,0,4,0,0
26,C,GOMEZ A,Atalanta,34,6.4,7.16,7,0,0,0,0,0,6,2,4,1,0,C,Atalanta,37,6.74,8.23,14,0,0,2,2,0,8,2,6,0,0,A,Atalanta,33,6.32,7.02,4,0,0,3,2,1,7,2,2,0,0,A,Atalanta,35,6.21,7.03,7,0,0,0,0,0,9,1,5,0,0
28,C,KURTIC,Atalanta,31,5.87,5.95,2,0,0,0,0,0,0,0,5,1,0,C,Atalanta,37,5.99,6.43,6,0,0,0,0,0,2,0,7,0,0,C,SPAL,29,5.72,5.91,3,0,0,0,0,0,0,0,7,0,0,C,SPAL,30,6.13,6.75,6,0,0,0,0,0,3,2,9,0,0
15,D,MASIELLO A,Atalanta,28,5.89,5.8,0,0,0,0,0,0,1,0,7,0,0,D,Atalanta,35,6.34,6.47,3,0,0,0,0,0,0,0,9,0,0,D,Atalanta,31,6.26,6.56,4,0,0,0,0,0,0,0,5,0,0,D,Atalanta,23,5.83,5.67,0,0,0,0,0,0,1,0,5,0,1
4,P,SPORTIELLO,Atalanta,36,6.19,5.22,0,43,3,0,0,0,0,0,2,0,0,P,Fiorentina,10,5.65,3.8,0,18,0,0,0,0,0,0,1,0,0,P,Fiorentina,37,6.08,5.11,0,38,1,0,0,0,0,0,0,1,0,P,Frosinone,35,6.11,4.21,0,64,0,0,0,0,0,0,5,0,0
695,D,TOLOI,Atalanta,24,5.83,5.71,1,0,0,0,0,0,0,0,6,1,1,D,Atalanta,31,5.97,5.85,0,0,0,0,0,0,0,0,7,0,0,D,Atalanta,30,6.15,6.22,1,0,0,0,0,0,3,0,6,1,0,D,Atalanta,21,6.07,6.19,1,0,0,0,0,0,3,0,1,1,1
57,C,CRISETIG,Bologna,5,5.4,5.3,0,0,0,0,0,0,0,0,1,0,0,C,Crotone,30,5.72,5.53,0,0,0,0,0,0,0,1,11,1,0,C,Bologna,8,5.75,5.5,0,0,0,0,0,0,0,0,4,0,0,C,Frosinone,7,5.5,5.29,0,0,0,0,0,0,0,0,3,0,0
40,P,DA COSTA,Bologna,5,5.9,5,0,4,0,0,0,0,0,0,1,0,0,P,Bologna,18,6.17,4.69,0,26,0,0,0,0,0,0,1,0,0,P,Bologna,4,6.38,5.12,0,5,0,0,0,0,0,0,0,0,0,P,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,A,DESTRO,Bologna,26,6.02,6.65,6,0,0,3,2,1,0,0,9,0,0,A,Bologna,30,5.75,6.68,11,0,0,1,0,1,0,0,4,0,0,A,Bologna,25,5.8,6.54,6,0,0,0,0,0,2,0,3,0,0,A,Bologna,9,6.28,7.56,4,0,0,0,0,0,1,0,3,0,0
58,C,DIAWARA,Bologna,33,6.02,5.85,0,0,0,0,0,0,1,0,9,2,0,C,Napoli,17,6.15,6.12,0,0,0,0,0,0,0,0,1,0,0,C,Napoli,14,6.11,6.39,1,0,0,0,0,0,1,0,1,0,0,C,Napoli,11,5.82,5.64,0,0,0,0,0,0,0,0,4,0,0
669,C,DONSAH,Bologna,19,6.08,6.45,2,0,0,0,0,0,2,0,2,0,0,C,Bologna,13,5.96,6.04,0,0,0,0,0,0,2,0,2,0,0,C,Bologna,25,6.04,6.26,2,0,0,0,0,0,1,0,3,0,0,C,Bologna,4,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
45,D,FERRARI A,Bologna,18,5.67,5.5,0,0,0,0,0,0,0,0,6,0,0,D,Bologna,1,5,5,0,0,0,0,0,0,0,0,0,0,0,D,Verona,25,5.46,5.48,1,0,0,0,0,0,0,0,5,0,0,D,Sampdoria,6,5.67,5.5,0,0,0,0,0,0,0,0,2,0,0
533,A,FLOCCARI,Bologna,24,6,6.73,6,0,0,0,0,0,0,0,1,0,0,A,Bologna,4,5.62,5.62,0,0,0,0,0,0,0,0,0,0,0,A,SPAL,16,5.94,6.5,3,0,0,0,0,0,0,0,0,0,0,A,SPAL,15,6.07,6.67,3,0,0,0,0,0,1,0,3,0,0
702,C,GIACCHERINI,Bologna,28,6.32,6.95,7,0,0,0,0,0,0,0,7,0,0,C,Napoli,8,6.06,6.44,1,0,0,0,0,0,0,0,0,0,0,C,Chievo,16,6.06,6.5,3,0,0,0,0,0,1,0,6,0,0,C,Chievo,26,5.83,5.87,2,0,0,2,1,1,1,0,8,0,1
663,D,KRAFTH,Bologna,2,6,6,0,0,0,0,0,0,0,0,0,0,0,D,Bologna,25,5.62,5.52,0,0,0,0,0,0,0,0,1,2,0,D,Bologna,12,5.46,5.38,0,0,0,0,0,0,0,0,2,0,0,D,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,D,MAIETTA,Bologna,19,6.05,5.95,0,0,0,0,0,0,0,0,4,0,0,D,Bologna,29,5.81,5.71,0,0,0,0,0,0,1,0,8,0,0,D,Bologna,7,6.29,6.21,0,0,0,0,0,0,0,0,1,0,0,D,Empoli,21,5.62,5.5,0,0,0,0,0,0,0,0,5,0,0
50,D,MBAYE,Bologna,15,5.53,5.37,0,0,0,0,0,0,0,0,3,1,0,D,Bologna,14,5.68,5.32,0,0,0,0,0,0,1,0,4,0,2,D,Bologna,24,5.79,5.73,1,0,0,0,0,0,0,0,3,1,1,D,Bologna,23,5.8,5.96,2,0,0,0,0,0,0,0,5,0,0
41,P,MIRANTE,Bologna,33,6.36,5.18,0,41,1,0,0,0,0,0,2,0,0,P,Bologna,21,6.17,4.79,0,32,1,0,0,0,0,0,0,0,0,P,Bologna,33,6.2,4.67,0,46,0,0,0,0,0,0,5,0,1,P,Roma,11,6.55,6.27,0,6,1,0,0,0,0,0,0,0,0
644,C,PULGAR,Bologna,12,5.67,5.58,0,0,0,0,0,0,0,0,2,0,0,C,Bologna,24,5.56,5.5,1,0,0,0,0,0,0,0,5,2,0,C,Bologna,32,5.88,5.95,3,0,0,1,0,1,1,0,9,0,0,C,Bologna,28,5.96,6.46,1,0,0,5,5,0,0,2,6,1,1
60,C,RIZZO,Bologna,22,5.91,5.91,0,0,0,0,0,0,2,0,2,1,0,C,Bologna,10,5.7,5.7,0,0,0,0,0,0,0,0,0,0,0,C,Atalanta,10,6.1,6.7,2,0,0,0,0,0,0,0,0,0,0,C,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,D,ROSSETTINI,Bologna,29,5.74,6,3,0,0,0,0,0,1,0,5,0,0,D,Torino,30,5.82,5.78,1,0,0,0,0,0,0,0,8,0,0,D,Genoa,23,5.87,5.72,0,0,0,0,0,0,0,0,7,0,0,D,Chievo,21,5.55,5.43,0,0,0,0,0,0,0,0,5,0,0
376,C,VERDI,Carpi,6,6.33,7.75,1,0,0,2,2,0,0,0,1,0,0,C,Bologna,27,6.24,6.94,6,0,0,0,0,0,3,0,4,0,0,C,Bologna,33,6.3,7.45,8,0,0,2,2,0,5,4,2,0,0,C,Napoli,18,5.86,6.53,2,0,0,1,1,0,3,0,0,0,0
252,D,BIRAGHI,Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,Pescara,35,5.56,5.51,0,0,0,2,1,1,4,0,11,0,0,D,Fiorentina,34,5.72,5.82,1,0,0,0,0,0,3,1,7,0,0,D,Fiorentina,36,5.89,6,1,0,0,0,0,0,5,0,8,0,0
111,C,BIRSA,Chievo,35,6.14,6.71,4,0,0,3,2,1,3,4,4,0,0,C,Chievo,35,6.07,6.77,7,0,0,1,0,1,4,5,5,0,0,C,Chievo,34,5.99,6.41,3,0,0,0,0,0,2,5,3,0,0,C,Cagliari,26,5.88,6.17,1,0,0,1,1,0,1,1,1,0,0
99,D,CACCIATORE,Chievo,28,5.89,6,1,0,0,0,0,0,3,0,6,0,0,D,Chievo,29,5.84,5.83,1,0,0,0,0,0,1,0,7,1,0,D,Chievo,33,5.76,5.92,2,0,0,0,0,0,3,0,5,1,0,D,Cagliari,14,5.86,5.89,0,0,0,0,0,0,2,0,3,0,0
112,C,CASTRO,Chievo,33,6.08,6.21,3,0,0,0,0,0,0,0,9,0,0,C,Chievo,33,6.14,6.61,5,0,0,0,0,0,4,0,5,1,0,C,Chievo,25,6.04,6.46,3,0,0,0,0,0,3,0,3,0,0,C,Cagliari,12,6.12,6.58,1,0,0,0,0,0,3,0,1,0,0
100,D,CESAR,Chievo,31,5.97,5.89,1,0,0,0,0,0,0,0,9,1,0,D,Chievo,16,5.44,5.34,1,0,0,0,0,0,0,0,8,1,0,D,Chievo,9,5.5,5,0,0,0,0,0,0,0,0,1,0,2,D,Chievo,13,5.42,5.54,1,0,0,0,0,0,0,0,3,0,0
817,D,COSTA F,Chievo,3,6,6,0,0,0,0,0,0,0,0,0,0,0,D,Chievo,1,5,5,0,0,0,0,0,0,0,0,0,0,0,D,SPAL,22,5.89,5.84,0,0,0,0,0,0,1,0,4,0,0,D,SPAL,8,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0
103,D,FREY,Chievo,18,5.53,5.33,0,0,0,0,0,0,0,0,3,0,1,D,Chievo,15,5.67,5.6,0,0,0,0,0,0,0,0,2,0,0,D,Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,Chievo,3,5.67,5.67,0,0,0,0,0,0,0,0,0,0,0
105,D,GOBBI,Chievo,34,5.96,5.88,0,0,0,0,0,0,1,0,7,0,0,D,Chievo,30,5.72,5.8,1,0,0,0,0,0,2,0,5,0,0,D,Chievo,24,5.67,5.69,0,0,0,0,0,0,1,1,3,0,0,D,Parma,15,5.43,5.4,0,0,0,0,0,0,1,0,3,0,0
115,C,HETEMAJ,Chievo,27,6.11,6.09,1,0,0,0,0,0,0,0,7,0,0,C,Chievo,23,5.72,5.59,0,0,0,0,0,0,0,0,6,0,0,C,Chievo,32,5.97,6.11,3,0,0,0,0,0,2,0,9,0,1,C,Chievo,28,5.7,5.75,2,0,0,0,0,0,0,0,9,0,0
123,A,INGLESE,Chievo,23,5.87,6.24,3,0,0,0,0,0,1,0,3,0,0,A,Chievo,31,5.95,6.95,10,0,0,1,0,1,4,0,0,0,0,A,Chievo,33,5.91,6.89,11,0,0,2,1,1,1,0,3,0,0,A,Parma,25,6.14,7.24,7,0,0,2,2,0,2,0,3,0,0
106,D,MATTIELLO,Chievo,1,5.5,6.5,0,0,0,0,0,0,1,0,0,0,0,D,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,SPAL,26,5.73,5.58,0,0,0,0,0,0,0,0,6,1,0,D,Bologna,16,5.72,5.84,1,0,0,0,0,0,1,0,2,1,0
124,A,MEGGIORINI,Chievo,26,6.27,6.85,5,0,0,0,0,0,5,0,8,1,0,A,Chievo,27,5.87,6.09,3,0,0,0,0,0,0,0,6,0,0,A,Chievo,14,5.5,5.43,0,0,0,0,0,0,0,0,2,0,0,A,Chievo,24,5.54,5.79,2,0,0,1,1,0,0,0,6,0,0
126,A,PALOSCHI,Chievo,21,6.1,6.98,7,0,0,3,1,2,1,0,1,0,0,A,Atalanta,8,5.44,5.06,0,0,0,1,0,1,0,0,0,0,0,A,SPAL,33,5.68,6.32,7,0,0,0,0,0,1,0,2,0,0,A,SPAL,17,5.74,6,2,0,0,0,0,0,0,0,3,0,0
127,A,PELLISSIER,Chievo,18,5.94,6.72,3,0,0,2,2,0,0,0,2,0,0,A,Chievo,28,5.96,6.98,6,0,0,3,3,0,2,0,1,0,0,A,Chievo,15,5.8,6.03,1,0,0,0,0,0,1,0,1,0,0,A,Chievo,14,6.18,6.86,3,0,0,2,1,1,1,0,1,0,0
118,C,RADOVANOVIC,Chievo,25,5.86,5.72,0,0,0,0,0,0,0,0,8,0,0,C,Chievo,33,5.74,5.59,0,0,0,0,0,0,0,0,10,0,0,C,Chievo,35,5.83,5.83,1,0,0,0,0,0,1,0,6,1,0,C,Genoa,35,5.66,5.53,0,0,0,0,0,0,0,0,9,0,0
119,C,RIGONI N,Chievo,24,6.02,6.25,3,0,0,0,0,0,0,0,7,0,0,C,Chievo,9,5.94,6.17,1,0,0,0,0,0,0,0,2,0,0,C,Chievo,14,5.46,5.39,0,0,0,0,0,0,0,0,3,0,0,C,Chievo,24,5.54,5.38,0,0,0,0,0,0,1,0,8,1,0
97,P,SECULIN,Chievo,3,6.67,6,0,2,0,0,0,0,0,0,0,0,0,P,Chievo,4,5.75,3.5,0,9,0,0,0,0,0,0,0,0,0,P,Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,Chievo,2,5.75,2.25,0,7,0,0,0,0,0,0,0,0,0
78,D,SPOLLI,Chievo,14,5.79,5.54,0,0,0,0,0,0,0,0,5,1,0,D,Chievo,20,5.82,5.62,0,0,0,0,0,0,0,0,8,0,0,D,Genoa,21,6.17,6,0,0,0,0,0,0,0,0,7,0,0,D,Genoa,7,5.43,5,0,0,0,0,0,0,0,0,2,0,1
141,D,LAURINI,Empoli,24,5.92,5.94,1,0,0,0,0,0,0,0,5,0,0,D,Empoli,24,5.52,5.44,0,0,0,0,0,0,0,0,2,1,0,D,Fiorentina,21,5.81,5.74,0,0,0,0,0,0,1,0,5,0,0,D,Fiorentina,13,5.81,5.65,0,0,0,0,0,0,0,0,4,0,0
142,D,MARIO RUI,Empoli,36,5.96,5.88,0,0,0,0,0,0,0,1,6,1,0,D,Roma,4,5.62,5.5,0,0,0,0,0,0,0,0,1,0,0,D,Napoli,24,6.02,6.23,2,0,0,0,0,0,2,2,8,1,0,D,Napoli,19,5.82,5.87,1,0,0,0,0,0,1,0,4,1,0
156,A,PUCCIARELLI,Empoli,38,5.92,6.42,6,0,0,0,0,0,2,0,2,0,0,A,Empoli,32,5.55,5.73,2,0,0,2,1,1,1,0,2,0,0,A,Chievo,19,5.55,5.82,2,0,0,0,0,0,0,0,3,0,0,A,Chievo,8,5.38,5.31,0,0,0,0,0,0,0,0,1,0,0
150,C,SAPONARA,Empoli,33,6.23,6.74,5,0,0,1,0,1,9,0,6,1,0,C,Fiorentina,27,5.81,6.28,4,0,0,0,0,0,3,0,5,0,0,C,Fiorentina,16,6.03,6.19,0,0,0,0,0,0,3,1,3,0,0,C,Sampdoria,21,6.12,6.52,2,0,0,0,0,0,4,0,3,0,0
133,P,SKORUPSKI,Empoli,31,6.21,4.79,0,43,0,0,0,0,0,0,2,0,0,P,Empoli,35,6.34,5,0,56,4,0,0,0,0,0,2,0,1,P,Roma,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,P,Bologna,38,6.11,4.62,0,56,0,0,0,0,0,0,1,0,0
144,D,TONELLI,Empoli,26,5.85,5.88,2,0,0,0,0,0,0,0,8,1,0,D,Napoli,3,6.5,8.17,2,0,0,0,0,0,0,0,2,0,0,D,Napoli,4,5.38,6.12,1,0,0,0,0,0,0,0,0,0,0,D,Sampdoria,19,5.84,5.74,1,0,0,0,0,0,0,0,6,0,1
152,C,ZIELINSKI,Empoli,35,6.24,6.69,5,0,0,0,0,0,3,1,5,1,0,C,Napoli,34,6.34,6.9,5,0,0,0,0,0,6,0,4,0,0,C,Napoli,36,6.12,6.44,4,0,0,0,0,0,1,0,3,0,0,C,Napoli,36,6.15,6.62,6,0,0,0,0,0,2,0,6,0,0
183,A,BABACAR,Fiorentina,14,6.07,7.18,4,0,0,1,1,0,1,0,2,0,0,A,Fiorentina,20,6.02,7.58,9,0,0,1,1,0,1,0,0,0,0,A,Sassuolo,28,5.91,6.61,3,0,0,3,3,0,2,0,1,0,0,A,Sassuolo,26,5.87,6.75,5,0,0,2,2,0,2,0,0,0,0
170,C,BADELJ,Fiorentina,27,6,5.98,1,0,0,0,0,0,1,0,7,1,0,C,Fiorentina,32,5.97,6.08,2,0,0,0,0,0,2,0,9,0,0,C,Fiorentina,27,5.96,6,2,0,0,0,0,0,0,0,8,1,0,C,Lazio,22,5.82,5.73,1,0,0,0,0,0,0,0,6,0,1
184,A,BERNARDESCHI,Fiorentina,33,6.12,6.3,2,0,0,0,0,0,3,0,6,0,0,C,Fiorentina,32,6.05,6.94,8,0,0,4,3,1,2,0,5,1,0,C,Juventus,16,6.34,7.34,4,0,0,0,0,0,5,0,4,0,0,C,Juventus,25,6.04,6.26,2,0,0,0,0,0,1,2,5,1,0
172,C,BORJA VALERO,Fiorentina,37,6.42,6.84,4,0,0,0,0,0,5,1,5,0,0,C,Fiorentina,32,6.06,6.3,1,0,0,0,0,0,4,3,5,0,0,C,Inter,33,5.92,6.06,2,0,0,0,0,0,0,0,3,0,0,C,Inter,23,5.91,5.85,0,0,0,0,0,0,0,0,4,0,0
173,C,CAPEZZI,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,Crotone,21,5.79,5.62,0,0,0,0,0,0,0,0,5,1,0,C,Sampdoria,3,6,6.33,0,0,0,0,0,0,1,0,0,0,0,C,Empoli,10,5.65,5.3,0,0,0,0,0,0,0,0,3,0,1
177,C,ILICIC,Fiorentina,27,6.3,7.85,6,0,0,7,7,0,4,0,2,0,0,C,Fiorentina,29,6.03,6.38,4,0,0,3,1,2,0,2,2,0,0,C,Atalanta,31,6.47,7.74,9,0,0,2,2,0,8,0,3,0,0,C,Atalanta,31,6.39,7.55,12,0,0,1,0,1,4,2,4,1,0
652,A,KALINIC,Fiorentina,35,6.07,7,12,0,0,1,0,1,2,0,5,0,0,A,Fiorentina,32,6.08,7.31,14,0,0,2,1,1,1,0,5,1,0,A,Milan,30,5.7,6.35,6,0,0,0,0,0,3,0,3,0,0,A,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,P,SEPE,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,Napoli,1,6,6,0,0,0,0,0,0,0,0,0,0,0,P,Parma,37,6.09,4.43,0,59,0,0,0,0,0,0,1,0,1
169,D,TOMOVIC,Fiorentina,20,5.68,5.55,0,0,0,0,0,0,0,0,5,0,0,D,Fiorentina,25,5.54,5.34,0,0,0,0,0,0,1,0,12,0,0,D,Chievo,29,5.72,5.57,0,0,0,0,0,0,0,0,5,0,1,D,Chievo,10,5.6,5.85,1,0,0,0,0,0,0,0,1,0,0
181,C,VECINO,Fiorentina,29,5.98,6.09,2,0,0,0,0,0,1,0,8,0,0,C,Fiorentina,29,6.02,6.34,3,0,0,0,0,0,4,0,7,0,0,C,Inter,28,5.93,6.16,3,0,0,0,0,0,2,0,7,1,0,C,Inter,27,5.85,6.07,3,0,0,0,0,0,1,0,8,0,0
706,D,ANSALDI,Genoa,24,6.02,6.1,0,0,0,0,0,0,4,0,4,0,0,D,Inter,21,5.71,5.52,0,0,0,0,0,0,1,0,8,1,0,D,Torino,25,6.14,6.24,1,0,0,0,0,0,3,0,5,1,0,D,Torino,24,6.38,6.77,3,0,0,0,0,0,2,0,3,0,0
224,D,DE MAIO,Genoa,27,5.76,5.67,1,0,0,0,0,0,0,0,5,1,1,D,Fiorentina,6,5.33,5.25,0,0,0,0,0,0,0,0,1,0,0,D,Bologna,25,5.8,5.82,2,0,0,0,0,0,0,0,7,0,1,D,Udinese,22,5.86,5.89,1,0,0,0,0,0,0,0,3,1,0
713,C,DZEMAILI,Genoa,26,5.94,6.17,3,0,0,0,0,0,1,0,6,1,0,C,Bologna,31,6.05,6.69,8,0,0,0,0,0,2,0,10,1,0,C,Bologna,15,5.9,5.97,1,0,0,0,0,0,0,0,4,0,0,C,Bologna,27,5.8,5.87,1,0,0,0,0,0,1,0,4,0,0
226,D,IZZO,Genoa,32,5.95,5.8,0,0,0,0,0,0,0,0,6,2,0,D,Genoa,29,5.88,5.72,0,0,0,0,0,0,2,0,5,0,2,D,Genoa,16,5.94,6.06,1,0,0,0,0,0,0,0,2,0,0,D,Torino,37,6.23,6.5,4,0,0,0,0,0,1,0,6,0,0
235,C,LAXALT,Genoa,35,6.04,6.34,3,0,0,0,0,0,2,1,3,0,0,C,Genoa,36,5.99,6.08,1,0,0,0,0,0,3,0,5,0,0,C,Genoa,32,5.98,6.3,3,0,0,0,0,0,2,0,2,0,0,C,Milan,13,5.77,5.69,0,0,0,0,0,0,0,0,2,0,0
236,C,LAZOVIC,Genoa,14,5.79,5.93,0,0,0,0,0,0,2,0,0,0,0,C,Genoa,33,6.05,6.27,2,0,0,0,0,0,4,0,3,1,0,C,Genoa,19,5.97,5.97,0,0,0,0,0,0,1,0,2,0,0,C,Genoa,33,5.95,6.32,3,0,0,0,0,0,3,1,2,0,0
245,A,PANDEV,Genoa,14,5.57,5.5,0,0,0,0,0,0,0,0,0,1,0,A,Genoa,16,5.84,6.31,3,0,0,0,0,0,0,0,1,1,0,A,Genoa,31,6,6.42,5,0,0,0,0,0,1,0,4,1,0,A,Genoa,21,6.05,6.6,4,0,0,0,0,0,2,0,6,0,0
247,A,PAVOLETTI,Genoa,25,6.16,7.82,14,0,0,0,0,0,2,0,3,1,0,A,Napoli,13,5.77,6.38,3,0,0,0,0,0,0,0,2,0,0,A,Cagliari,33,5.91,6.79,11,0,0,0,0,0,0,0,8,0,0,A,Cagliari,32,6.09,7.53,16,0,0,0,0,0,1,0,6,0,0
218,P,PERIN,Genoa,25,6.36,5.24,0,30,1,0,0,0,0,0,2,0,0,P,Genoa,16,6.16,5.06,0,19,1,0,0,0,0,0,1,1,0,P,Genoa,37,6.27,5.12,0,42,0,0,0,0,0,0,1,0,0,P,Juventus,9,5.89,4.94,0,8,0,0,0,0,0,0,1,0,0
438,C,RIGONI L,Genoa,27,5.98,6.31,4,0,0,0,0,0,0,0,4,1,0,C,Genoa,31,5.85,5.97,3,0,0,0,0,0,1,0,13,0,0,C,Genoa,22,5.89,6.14,2,0,0,0,0,0,2,0,5,0,0,C,Parma,22,5.66,5.82,2,0,0,0,0,0,0,0,5,0,0
238,C,RINCON,Genoa,33,6.24,6.5,3,0,0,0,0,0,4,0,9,0,0,C,Juventus,22,5.91,5.91,0,0,0,0,0,0,2,0,4,0,0,C,Torino,36,5.9,5.82,1,0,0,0,0,0,0,0,12,0,0,C,Torino,33,6.12,6.17,3,0,0,0,0,0,0,0,15,0,0
